,feature,label
110,[0.26112747 1.03772992 0.67695215 3.97403581],1
111,[0.18269171 1.30795273 0.56887559 7.15934366],1
112,[0.25352113 1.27814679 0.44354274 5.04157901],1
113,[0.18682327 1.2094175  0.35662928 6.4735914 ],1
114,[0.17641217 1.06935762 0.47670325 6.06169982],1
115,[0.25106776 0.99370698 0.32742361 3.95792355],1
116,[0.20607953 0.99135265 0.45848968 4.81053432],1
117,[0.18913241 1.11729986 0.24569103 5.90750081],1
118,[0.30681818 1.09161348 0.53395276 3.55785135],1
119,[0.25       0.93625505 0.39316105 3.74502019],1
120,[0.26367685 1.03574943 0.44969767 3.92810154],1
121,[0.11392405 1.12880022 0.28832577 9.90835746],1
122,[0.28911348 1.01155392 0.53051498 3.49881268],1
123,[0.28125    1.31878715 0.33705288 4.68902099],1
124,[0.32758061 0.98318301 0.44971173 3.00134673],1
125,[0.16170274 1.         0.27119322 6.18418715],1
126,[0.22924821 1.03212818 0.36406257 4.50223012],1
127,[0.280419   1.11695784 0.46874981 3.98317461],1
128,[0.2        0.99858127 0.46284439 4.99290637],1
129,[0.17193371 1.10565944 0.28064187 6.43073093],1
130,[0.34387231 0.99193938 0.64339319 2.88461546],1
131,[0.20348403 0.95967892 0.44922678 4.71623702],1
132,[0.2195122  0.97049535 0.53293571 4.42114548],1
133,[0.33716322 1.24464988 0.6417374  3.69153513],1
134,[0.33978671 1.53572201 0.6291943  4.51966476],1
135,[0.22924821 1.         0.36406257 4.36208428],1
136,[0.30811388 0.98639397 0.53866802 3.20139412],1
137,[0.26068111 1.06965323 0.61802178 4.10330168],1
138,[0.27088318 1.11508659 0.65822078 4.11648513],1
139,[0.21794872 0.95090514 0.36546149 4.36297654],1
140,[0.33333333 1.         0.46549619 3.        ],1
141,[0.3958619  1.36512176 0.59661674 3.44847976],1
142,[0.17705994 1.00609662 0.5670864  5.68223735],1
143,[0.25184491 1.09919377 0.43778245 4.36456613],1
144,[0.22033898 1.5266786  0.44032096 6.9287721 ],1
145,[0.15909747 1.06117065 0.36194197 6.66994046],1
146,[0.27584452 1.96230851 0.83093068 7.11382101],1
